epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25048,1.2712,0.71748,0.93641,0.69382,0.44725,0.49292,0.26327,1.24831,0.6713,0.92378,0.000643101,0.000643101,0.000643101
43,25922.2,1.27013,0.71645,0.93555,0.68903,0.4508,0.49316,0.26359,1.24804,0.67046,0.92348,0.000628101,0.000628101,0.000628101
44,26793.4,1.26707,0.71266,0.93365,0.6934,0.449,0.4937,0.2641,1.24749,0.66976,0.92306,0.000612981,0.000612981,0.000612981
45,27664.2,1.26672,0.71153,0.93343,0.69227,0.4493,0.49372,0.26435,1.24708,0.66927,0.92262,0.000597754,0.000597754,0.000597754
46,28534.3,1.26698,0.71051,0.93379,0.69001,0.4499,0.49445,0.26471,1.24665,0.66864,0.92229,0.000582435,0.000582435,0.000582435
47,29406.5,1.26507,0.70854,0.93302,0.69424,0.44973,0.49526,0.2649,1.24632,0.66815,0.92205,0.00056704,0.00056704,0.00056704
48,30276.8,1.26222,0.7068,0.93187,0.6943,0.44871,0.49556,0.26523,1.246,0.66753,0.92184,0.000551584,0.000551584,0.000551584
49,31147,1.26135,0.70524,0.93191,0.69053,0.45303,0.49632,0.26587,1.24575,0.66704,0.92163,0.000536081,0.000536081,0.000536081
50,32017.2,1.26031,0.70299,0.93122,0.69035,0.45506,0.49668,0.26601,1.24559,0.66674,0.92146,0.000520548,0.000520548,0.000520548
51,32887.4,1.25964,0.7017,0.93111,0.69257,0.45289,0.49636,0.26595,1.24546,0.66627,0.92124,0.000505,0.000505,0.000505
52,33763.4,1.2597,0.70143,0.93091,0.69537,0.45192,0.49668,0.26617,1.24539,0.66589,0.92108,0.000489452,0.000489452,0.000489452
53,34650.3,1.25708,0.69888,0.92935,0.69142,0.45306,0.49621,0.26631,1.24522,0.6659,0.92098,0.000473919,0.000473919,0.000473919
54,35522.2,1.25464,0.69631,0.9292,0.69291,0.45307,0.49671,0.26674,1.24503,0.66548,0.92088,0.000458416,0.000458416,0.000458416
55,36393.8,1.25477,0.69669,0.92945,0.69031,0.45432,0.49716,0.26691,1.2448,0.66506,0.92084,0.00044296,0.00044296,0.00044296
56,37263.7,1.25201,0.69476,0.92939,0.68599,0.45627,0.49822,0.26737,1.24459,0.66479,0.92083,0.000427565,0.000427565,0.000427565
57,38134.1,1.25288,0.69469,0.92888,0.68753,0.45489,0.4983,0.26743,1.24429,0.66464,0.9209,0.000412246,0.000412246,0.000412246
58,39004.2,1.24918,0.69162,0.92794,0.68971,0.4559,0.49919,0.26773,1.24412,0.66432,0.92081,0.000397019,0.000397019,0.000397019
59,39874.5,1.24987,0.69085,0.92862,0.68384,0.45963,0.49976,0.26787,1.24385,0.66422,0.92088,0.000381899,0.000381899,0.000381899
60,40744.3,1.24876,0.68988,0.92766,0.68434,0.45907,0.50022,0.26811,1.24365,0.66398,0.92076,0.000366899,0.000366899,0.000366899
61,41654.3,1.24583,0.68784,0.92641,0.68501,0.45924,0.50027,0.26806,1.2437,0.66385,0.92049,0.000352037,0.000352037,0.000352037
62,42524,1.24633,0.68715,0.92708,0.68532,0.45925,0.5003,0.26817,1.24374,0.66361,0.92058,0.000337325,0.000337325,0.000337325
63,43394.3,1.24586,0.68575,0.92717,0.67677,0.46173,0.49996,0.26824,1.24348,0.66344,0.92058,0.000322778,0.000322778,0.000322778
64,44263.7,1.24462,0.68476,0.92599,0.67704,0.46143,0.50046,0.2683,1.24337,0.66313,0.92034,0.000308412,0.000308412,0.000308412
65,45136.8,1.24379,0.68385,0.92658,0.68155,0.46024,0.50079,0.26831,1.24338,0.66307,0.92033,0.000294239,0.000294239,0.000294239
66,946.839,1.24,0.68061,0.92514,0.67866,0.46058,0.50066,0.2683,1.24332,0.66292,0.9203,0.000280275,0.000280275,0.000280275
67,1956.75,1.23976,0.68073,0.92528,0.67817,0.46095,0.50059,0.2685,1.24328,0.66288,0.92041,0.000266532,0.000266532,0.000266532
68,2839.02,1.23958,0.67954,0.92533,0.68362,0.45961,0.50058,0.26851,1.24318,0.66276,0.92051,0.000253024,0.000253024,0.000253024
69,3714.57,1.23909,0.67753,0.92434,0.68317,0.45996,0.50111,0.26839,1.24311,0.66272,0.92059,0.000239766,0.000239766,0.000239766
70,4646.73,1.23849,0.67755,0.92494,0.68177,0.46018,0.50039,0.2683,1.24309,0.66272,0.9208,0.000226769,0.000226769,0.000226769
71,5585.71,1.23731,0.67566,0.92425,0.68548,0.45998,0.50149,0.26854,1.24295,0.66259,0.9208,0.000214046,0.000214046,0.000214046
72,6619.88,1.23527,0.6732,0.92353,0.68402,0.46034,0.50213,0.2686,1.24282,0.66232,0.9207,0.000201611,0.000201611,0.000201611
73,7544.75,1.2338,0.67333,0.92305,0.68525,0.46114,0.50277,0.26849,1.24279,0.66216,0.92045,0.000189475,0.000189475,0.000189475
74,8725.95,1.23409,0.6733,0.92257,0.68705,0.45904,0.50225,0.26861,1.24283,0.66212,0.92026,0.000177651,0.000177651,0.000177651
75,9648.59,1.23408,0.67178,0.92207,0.68727,0.45923,0.50205,0.26854,1.24265,0.6621,0.92003,0.000166149,0.000166149,0.000166149
76,10560.4,1.23399,0.67193,0.92247,0.68746,0.45916,0.5028,0.26861,1.24258,0.66215,0.92002,0.000154982,0.000154982,0.000154982
77,11630.4,1.23206,0.6702,0.92251,0.68294,0.46107,0.50326,0.2688,1.24262,0.66217,0.92008,0.000144161,0.000144161,0.000144161
78,12543.1,1.23167,0.66909,0.92174,0.6806,0.46263,0.50352,0.26885,1.2426,0.66211,0.91993,0.000133695,0.000133695,0.000133695
79,13469.1,1.22897,0.66646,0.92083,0.68008,0.46302,0.50306,0.26859,1.24264,0.6621,0.91989,0.000123596,0.000123596,0.000123596
80,14461.4,1.23107,0.66861,0.92187,0.6821,0.46325,0.50355,0.26859,1.24264,0.66203,0.91994,0.000113873,0.000113873,0.000113873
81,15464.8,1.23069,0.66773,0.92225,0.6852,0.4605,0.503,0.26853,1.24277,0.66212,0.91995,0.000104537,0.000104537,0.000104537
82,16534.8,1.2277,0.66569,0.92067,0.68889,0.45913,0.5032,0.26847,1.24284,0.662,0.91989,9.55951e-05,9.55951e-05,9.55951e-05
83,17467.9,1.2261,0.66365,0.92078,0.68648,0.46003,0.50316,0.26851,1.24293,0.66198,0.91997,8.70577e-05,8.70577e-05,8.70577e-05
84,18423.4,1.22578,0.66315,0.92032,0.68665,0.46029,0.50326,0.26856,1.24296,0.66193,0.91994,7.89327e-05,7.89327e-05,7.89327e-05
85,19846.5,1.22556,0.66266,0.92046,0.68993,0.45885,0.50281,0.26834,1.24303,0.66181,0.91995,7.12282e-05,7.12282e-05,7.12282e-05
86,20807.9,1.22409,0.66076,0.91952,0.69242,0.45712,0.50226,0.26834,1.2431,0.66181,0.91997,6.39518e-05,6.39518e-05,6.39518e-05
87,21760.7,1.22386,0.66069,0.92011,0.68907,0.45885,0.50232,0.26855,1.24319,0.66177,0.92009,5.71106e-05,5.71106e-05,5.71106e-05
